Iteration,EnvExecTime,GradNorm,TotalEnvSteps,LossAfter,Entropy,ProcessExecTime,AverageDiscountedReturn,KL,PolicyExecTime,StdReturn,KLBefore,AverageReturn,dLoss,EvalAvgReturn,NumTrajs,MinReturn,MaxReturn,LossBefore
46,4.006511449813843,0.3637842212108211,235924,-0.1707402765750885,1.547700047492981,0.08302998542785645,-45.02448941445556,0.0007432823185808957,2.9280364513397217,31.971212050843494,0.0008018733933568001,-73.04,-0.002870425581932068,,300,-152.0,-30.499999999999986,-0.17361070215702057
47,3.8161728382110596,0.30793894111528686,240924,-0.17244012653827667,1.5459301471710205,0.08328604698181152,-43.57589814818739,0.0007759968284517527,2.923078775405884,32.603987486195614,0.0007393287378363311,-70.6,0.004732117056846619,,300,-130.50000000000003,7.0000000000000195,-0.16770800948143005
48,4.428547620773315,0.3888243815432382,245924,-0.1723407804965973,1.5487401485443115,0.09200644493103027,-40.55451523107691,0.0008038180531002581,3.274044990539551,32.682203108113754,0.0007640066905878484,-64.56,-0.0026942044496536255,,300,-137.00000000000003,-0.49999999999998757,-0.17503498494625092
49,4.54354190826416,0.3255882020164865,250924,-0.16978953778743744,1.545579433441162,0.09549665451049805,-39.635678456274235,0.0007250810158438981,3.310692548751831,30.517247582309913,0.0008339583873748779,-65.74,0.0025074034929275513,,300,-129.5,2.499999999999986,-0.1672821342945099
50,4.319102048873901,0.3711000683362134,255924,-0.1695036143064499,1.5472403764724731,0.0923762321472168,-29.307532720669766,0.0006074706907384098,3.228179931640625,39.52116395047089,0.000654831703286618,-52.26,0.003895089030265808,,300,-138.0,18.00000000000001,-0.16560852527618408
51,4.475677728652954,0.3548769813685277,260924,-0.1710439771413803,1.546247124671936,0.09629249572753906,-35.232925626647976,0.0006572174606844783,3.366920232772827,27.654178707746865,0.0006337208906188607,-58.08,-0.0041399747133255005,,300,-131.5,-10.499999999999977,-0.1751839518547058
52,4.519348382949829,0.29802655387161825,265924,-0.17061220109462738,1.5406337976455688,0.09464383125305176,-44.61627788057478,0.0008102446445263922,3.3108389377593994,33.8974099305537,0.000706431339494884,-73.34,-0.004815354943275452,,300,-137.5,-16.499999999999993,-0.17542755603790283
53,4.209791421890259,0.31077990784500553,270924,-0.17231929302215576,1.5408598184585571,0.0924832820892334,-30.051698670655604,0.0008045815629884601,3.3007893562316895,26.497199852059847,0.0007065057870931923,-49.22,-0.00732046365737915,,300,-108.5,3.0000000000000178,-0.1796397566795349
54,4.3526129722595215,0.34807579793451016,275924,-0.16958032548427582,1.5384820699691772,0.09513401985168457,-32.10091151717455,0.0007377711590379477,3.2768375873565674,29.570147108190053,0.0008297670283354819,-54.92,-0.005735963582992554,,300,-115.00000000000001,1.5000000000000142,-0.17531628906726837
55,2.8100645542144775,0.4361840783173135,280924,-0.16826088726520538,1.536558985710144,0.06438755989074707,-21.75970936456386,0.0005834575858898461,2.2106661796569824,26.11730460824777,0.0007153358310461044,-44.91999999999999,0.001099422574043274,,300,-95.5,9.000000000000025,-0.1671614646911621
