AverageReturn,dLoss,ProcessExecTime,KLBefore,LossAfter,Entropy,NumTrajs,LossBefore,MaxReturn,PolicyExecTime,EnvExecTime,KL,Iteration,GradNorm,StdReturn,TotalEnvSteps,MinReturn,AverageDiscountedReturn
-29.697368421052627,-0.0034781545400619507,0.15298724174499512,0.0012930093798786402,-0.16855649650096893,1.4955607652664185,304,-0.17203465104103088,21.500000000000014,5.430079936981201,6.418826103210449,0.001051682629622519,55,0.34083480381129416,18.090612378598102,425664,-72.49999999999997,-14.67918248660141
-33.77631578947367,0.00344790518283844,0.15186738967895508,0.0010418904712423682,-0.17034217715263367,1.4930027723312378,304,-0.16689427196979523,-11.99999999999999,5.415242910385132,6.517033338546753,0.0013118927599862218,56,0.33765733605659237,17.588384836687954,433264,-74.49999999999997,-18.63061026140939
-29.447368421052627,-0.0014873594045639038,0.1557328701019287,0.0013041385682299733,-0.16864827275276184,1.4913674592971802,304,-0.17013563215732574,10.000000000000005,5.5051209926605225,6.484191417694092,0.001210485235787928,57,0.3642609369465784,18.605951747847065,440864,-68.99999999999997,-14.706423311385887
-32.82894736842104,0.0004809647798538208,0.14487910270690918,0.0011889912420883775,-0.1689533144235611,1.4937899112701416,304,-0.16847234964370728,-5.499999999999982,5.330954074859619,6.471810817718506,0.0011844740947708488,58,0.3167519816586504,15.66183608068615,448464,-62.999999999999986,-16.952548209774164
-28.749999999999993,0.0018243342638015747,0.14968085289001465,0.0011952852364629507,-0.171441912651062,1.4903665781021118,304,-0.16961757838726044,23.000000000000007,5.41054892539978,6.417764186859131,0.0012158178724348545,59,0.37733261677253854,19.094898051022618,456064,-68.49999999999999,-13.316447382869805
-25.72368421052631,-0.000552937388420105,0.14585590362548828,0.0011999616399407387,-0.16929596662521362,1.492069125175476,304,-0.16984890401363373,10.000000000000005,5.362541675567627,6.1893908977508545,0.0012047247728332877,60,0.3014502475375286,17.12481170408238,463664,-65.99999999999997,-11.264450300150848
-28.815789473684205,-0.004087686538696289,0.15131664276123047,0.0012265583500266075,-0.16971999406814575,1.490289330482483,304,-0.17380768060684204,9.499999999999991,5.4730224609375,6.541528940200806,0.0013281520223245025,61,0.34913957134671786,16.288687167475747,471264,-59.999999999999986,-14.35175846840725
-28.42105263157894,-0.002536296844482422,0.15127038955688477,0.0013003837084397674,-0.1680212914943695,1.49491548538208,304,-0.17055758833885193,13.500000000000018,5.414782762527466,6.425139427185059,0.0011054420610889792,62,0.298561464473314,19.71057901756709,478864,-69.99999999999999,-14.084214297740038
-27.17105263157894,-0.0021684467792510986,0.1457054615020752,0.0011035095667466521,-0.17012448608875275,1.4925676584243774,304,-0.17229293286800385,12.500000000000018,5.411325931549072,6.382388591766357,0.0011453699553385377,63,0.3697149161614259,18.438473904979183,486464,-70.99999999999999,-12.389906753222435
-30.671052631578934,-0.001239389181137085,0.14378690719604492,0.0011507143499329686,-0.16817976534366608,1.4921406507492065,304,-0.16941915452480316,6.000000000000005,5.373227834701538,6.488247632980347,0.001302930642850697,64,0.39512445580662486,19.138785473960525,494064,-71.49999999999999,-14.998340317689607
